alert,rule,file,initial_line,disposition,dismissal_reason,rationale,evidence
https://github.com/Brumbelow/layerleak/security/code-scanning/1206,Lizard_ccn-minor,internal/storage/migrate.go,877,dismissal,won't fix,"requireSchemaIndexes: accepted cyclomatic complexity debt. The catalog snapshot captures ordered keys, access method, uniqueness, validity/readiness/liveness, predicates and included columns before comparing versioned requirements. Keeping these checks together makes the accepted index definition explicit; column-order comparison is already delegated. Existing integration cases reject same-name wrong indexes and check ordering/invalid indexes. Retain this schema validation unit.",internal/storage/migrate.go:requireSchemaIndexes; internal/storage/migrate.go:schemaIndexColumnsMatch; internal/storage/storage_integration_test.go:TestPostgresStoreRequireSchemaRejectsSameNameWrongIndex; internal/storage/storage_integration_test.go:TestPostgresStoreRequireSchemaValidatesIndexOrdering
https://github.com/Brumbelow/layerleak/security/code-scanning/1207,Lizard_ccn-minor,web/assets/demo.js,1,source fix,Reduce the required-element guard complexity without changing its behavior.,"The nine required elements are checked by requiredElements.every(Boolean), replacing the repeated OR expression. Lizard 1.23.0 reports outer IIFE CCN 3 and NLOC 41, below CCN 10 and NLOC 50 limits; all demo and browser-test functions pass those thresholds.",web/assets/demo.js; scripts/tests/test_demo.cjs; /tmp/layerleak-web-check/bin/lizard web/assets/demo.js scripts/tests/test_demo.cjs -C 10 -T nloc=50 --warnings_only; DEMO_BROWSER_PATH=/usr/bin/google-chrome npm test --prefix scripts/tests (5 passing browser tests)
https://github.com/Brumbelow/layerleak/security/code-scanning/1208,Lizard_ccn-minor,internal/scanservice/service_test.go,237,dismissal,won't fix,"Accepting the table callback complexity in TestScanAndSaveAppliesRawFindingPolicy. Cases cover default-off, explicit opt-in and byte-limit rejection using the same input. It checks incomplete status/diagnostics where required, exactly one persisted run, and raw fields in both returned and stored findings. Keeping those paired checks in one runner prevents the two representations from drifting.",internal/scanservice/service_test.go:TestScanAndSaveAppliesRawFindingPolicy/table callback
https://github.com/Brumbelow/layerleak/security/code-scanning/1209,Lizard_ccn-minor,internal/api/run.go,19,dismissal,won't fix,"api.Run: accepted cyclomatic complexity debt. This top-level startup routine owns config/logger/store creation, schema requirement, historical raw-material warning, server options, signal handling and graceful shutdown. Keeping the store and server lifetimes together is reasonable; business logic already resides in handler/service packages. Existing run_test checks logger configuration only, so this acceptance is based on lifecycle/source review and does not claim full startup/shutdown test coverage.",internal/api/run.go:Run; internal/api/run.go:newDefaultLogger; internal/api/run_test.go:TestNewDefaultLoggerHonorsConfiguredLevel
https://github.com/Brumbelow/layerleak/security/code-scanning/1210,Lizard_ccn-minor,internal/storage/storage_integration_test.go,441,dismissal,won't fix,"Accepting this upsert/provenance test's complexity. It saves the same record twice at different times and checks one finding/two occurrences, empty raw value/snippet by default, actionable disposition, empty reason and a positive line number. These independent database assertions confirm upsert identity and retained provenance without raw retention, so they remain explicit.",internal/storage/storage_integration_test.go:TestPostgresStoreSaveScanUpsertsAndRetainsProvenance
https://github.com/Brumbelow/layerleak/security/code-scanning/1211,Lizard_ccn-minor,internal/storage/storage_integration_test.go,925,dismissal,won't fix,"Accepting this aggregation/filter test's complexity. One of two saved occurrences is marked example; the actionable query must return one finding with two total, one actionable and one suppressed occurrence plus the expected detector. The suppressed query must also return that finding. These assertions intentionally compare both views of the same grouped data.",internal/storage/storage_integration_test.go:TestPostgresStoreListRepositoryFindingsAggregatesAndFiltersDispositions
https://github.com/Brumbelow/layerleak/security/code-scanning/1212,Lizard_ccn-minor,internal/storage/storage_integration_test.go,975,dismissal,won't fix,"Accepting this occurrence-detail test's complexity. It migrates the test database, saves the shared two-occurrence record, obtains the finding ID through the list API, then checks GetFinding returns that ID, two occurrences and populated context/source location. The branches are setup error handling and direct relational read postconditions; no metric-only extraction is needed.",internal/storage/storage_integration_test.go:TestPostgresStoreGetFindingLoadsOccurrenceDetail
https://github.com/Brumbelow/layerleak/security/code-scanning/1213,Lizard_ccn-minor,internal/cli/scan.go,42,dismissal,won't fix,"newScanCmdWithStore RunE closure: accepted cyclomatic complexity debt. This command lifecycle validates flags before scanning, owns timeout/progress/store cleanup, invokes the service, publishes artifacts and preserves scan/save/publication/output error precedence. Its long flow keeps cancellation and durable-output ordering visible; scope parsing, publication and summary rendering are already separate helpers. Existing reliability tests assert retained output after save/progress failure and no publication after cancellation. Keep this orchestration while separately simplifying renderSummary.",internal/cli/scan.go:newScanCmdWithStore; internal/cli/reliability_test.go:TestScanCommandPreservesOutputAfterSaveFailure; internal/cli/reliability_test.go:TestScanCommandPreservesOutputAfterProgressFailure; internal/cli/reliability_test.go:TestScanCommandCancellationDuringSaveStillSkipsPublication
https://github.com/Brumbelow/layerleak/security/code-scanning/1214,Lizard_ccn-minor,internal/cli/scan.go,356,source fix,,"Replaced duplicated summary writes with ordered rows and a checked emission loop, with separate table rendering and status helpers. Existing output is preserved by exact reference/repository summaries, conditional-field tests and writer-error tests. Lizard 1.23.0 measures renderSummary complexity 5 (was 37); every added production helper is at most 9.",internal/cli/summary_test.go
https://github.com/Brumbelow/layerleak/security/code-scanning/1215,Lizard_ccn-minor,internal/jobs/scan.go,195,dismissal,won't fix,"scanSingleReference: accepted cyclomatic complexity debt. The length is largely explicit scanner-to-job result mapping. The remaining branches distinguish completed, partial and failed targets and preserve fatal/limit errors before finalization. Keeping these counters and status/error decisions together avoids obscuring partial-result semantics. Existing CLI single-reference and partial-limit tests exercise this jobs path; the repository sweep has a separate routine.",internal/jobs/scan.go:scanSingleReference; internal/jobs/scan.go:scanTarget; internal/cli/scan_test.go:TestScanCommandBareReferenceDefaultsToLatestWithoutTagEnumeration; internal/cli/scan_test.go:TestScanCommandWritesPartialResultsOnConfiguredLimitError
https://github.com/Brumbelow/layerleak/security/code-scanning/1216,Lizard_ccn-minor,internal/jobs/scan.go,274,dismissal,won't fix,"scanRepository: accepted cyclomatic complexity debt. The routine owns tag enumeration/resolution, digest grouping, target order and shared scan budgets, then aggregates partial results while preserving fatal/limit errors. Keeping the shared counters and early exits visible is reasonable; scanTarget and finalization already isolate lower-level work. Existing jobs tests cover digest deduplication, completed-target preservation on limits and raw/finding budgets across targets.",internal/jobs/scan.go:scanRepository; internal/jobs/scan.go:scanTarget; internal/jobs/scan_test.go:TestScanRepositoryEnumeratesTagsAndDeduplicatesDigests; internal/jobs/scan_test.go:TestScanRepositoryAbortsOnLimitErrorAndPreservesCompletedTargets; internal/jobs/scan_test.go:TestScanRepositoryAppliesRawFindingByteLimitAcrossTargets
https://github.com/Brumbelow/layerleak/security/code-scanning/1217,Lizard_ccn-minor,internal/manifest/reference.go,24,dismissal,won't fix,"ParseReference: accepted cyclomatic complexity debt. The routine rejects unsupported surrounding syntax, delegates distribution-reference parsing, normalizes registry aliases and validates extracted registry/digest before returning the reference fields. Keeping normalization and validation in one entry point prevents callers from assembling inconsistent identities. Existing malformed-reference and IPv6 tests cover the accepted/rejected syntax; identifier helpers keep default-tag semantics outside this parser.",internal/manifest/reference.go:ParseReference; internal/manifest/reference_test.go:TestParseReferenceRejectsMalformedValues; internal/manifest/reference_test.go:TestParseReferenceAcceptsIPv6Registry
https://github.com/Brumbelow/layerleak/security/code-scanning/1218,Lizard_ccn-minor,internal/manifest/reference.go,180,dismissal,won't fix,"validateRegistry: accepted cyclomatic complexity debt. The branches distinguish bracketed IP:port, host:port and plain hostname before validating port and DNS-label grammar. This single registry-authority contract belongs together and remains separate from outbound network policy. Existing malformed-reference cases check bad ports/hosts and the IPv6 test covers accepted bracketed authority. Keep the grammar explicit rather than distribute its rejection cases.",internal/manifest/reference.go:validateRegistry; internal/manifest/reference.go:ParseReference; internal/manifest/reference_test.go:TestParseReferenceRejectsMalformedValues; internal/manifest/reference_test.go:TestParseReferenceAcceptsIPv6Registry
https://github.com/Brumbelow/layerleak/security/code-scanning/1219,Lizard_ccn-minor,internal/detectors/structured.go,110,dismissal,won't fix,"awsSharedCredentialsDetector.Scan: accepted cyclomatic complexity debt. The routine keeps profile-level secret presence separate from per-key validation/confidence and deterministic match ordering. Access IDs, secret keys and session tokens have different validators and labels, so keeping their explicit cases together makes those differences visible. Existing paired/unpaired profile tests check confidence and structured-match deduplication. Preserve this dispatch while handling the separate parseINIKeyValue span issue under alert 1220.",internal/detectors/structured.go:awsSharedCredentialsDetector.Scan; internal/detectors/structured.go:parseAWSSharedCredentialsEntries; internal/detectors/detectors_test.go:TestAWSSharedCredentialsDetectorPromotesPairedProfile; internal/detectors/detectors_test.go:TestAWSSharedCredentialsDetectorKeepsUnpairedAccessKeyMedium
https://github.com/Brumbelow/layerleak/security/code-scanning/1220,Lizard_ccn-minor,internal/detectors/structured.go,245,source fix,,"Corrected value trimming so quoted and unquoted padding preserves byte offsets: line[start:end] equals the returned value, including Unicode whitespace. Five span regressions failed before the change and now pass; empty/comment behavior remains covered. Lizard 1.23.0 measures parseINIKeyValue complexity 9 (was 11), so this metric is also resolved.",internal/detectors/ini_test.go
https://github.com/Brumbelow/layerleak/security/code-scanning/1221,Lizard_ccn-minor,internal/detectors/structured.go,295,dismissal,won't fix,"gitCredentialsDetector.Scan: accepted cyclomatic complexity debt. The routine gates on .git-credentials, parses each line as a URL, validates credential shape and locates the literal password span before emitting a structured match. Keep parsing and offset construction adjacent so the emitted value can be checked against content. Existing TestGitCredentialsDetectorExtractsPassword covers the literal-password path. Percent-encoded forms are not covered by that test; this metric disposition does not claim complete URL-form coverage.",internal/detectors/structured.go:gitCredentialsDetector.Scan; internal/detectors/detectors.go:looksLikeBasicAuthURL; internal/detectors/detectors_test.go:TestGitCredentialsDetectorExtractsPassword
https://github.com/Brumbelow/layerleak/security/code-scanning/1223,Lizard_ccn-minor,internal/cli/results.go,242,dismissal,won't fix,"sanitizePathToken: accepted cyclomatic complexity debt. The compact rune switch preserves ASCII letters/digits/dash/underscore, substitutes known separators and drops everything else before trimming edge dashes. Those alternatives define one filename alphabet and are clearer kept together. buildResultFileName supplies a fallback when sanitization is empty; existing result-publication tests exercise repository-derived names and concurrent output creation.",internal/cli/results.go:sanitizePathToken; internal/cli/results.go:buildResultFileName; internal/cli/results_test.go:TestWriteResultArtifactsUsesConfiguredDirectory; internal/cli/results_test.go:TestWriteResultArtifactsPublishesConcurrentResultsWithoutCollisions
https://github.com/Brumbelow/layerleak/security/code-scanning/1224,Lizard_ccn-minor,internal/config/config.go,64,dismissal,won't fix,"config.Load: accepted cyclomatic complexity debt. Length and branches arise from explicit typed environment-name/default/field mappings plus immediate parse errors. Numeric, duration, boolean and host parsing are already helpers; retaining typed assignments makes positive versus zero-disable limits and the idle/open pool relationship visible. Existing default, zero-resource-limit, invalid-value and pool-relation tests cover those distinctions. Avoid replacing this mapping with reflection or a generic untyped loader merely to reduce metrics.",internal/config/config.go:Load; internal/config/config_test.go:TestLoadDefaults; internal/config/config_test.go:TestLoadAllowsZeroResourceLimits; internal/config/config_test.go:TestLoadRejectsIdleConnectionsAboveOpenConnections
https://github.com/Brumbelow/layerleak/security/code-scanning/1225,Lizard_ccn-minor,internal/config/config.go,343,dismissal,won't fix,"normalizeAllowedHost: accepted cyclomatic complexity debt. The branches deliberately separate bracketed IP:port, hostname:port and bare hostname, rejecting URL components, unbracketed IPv6 and invalid ports. Keeping this syntax dispatch together preserves exact host/port allowlist semantics. TestLoadRejectsInvalidPrivateHostAllowlist covers malformed labels, URL syntax and port bounds; valid host-list parsing is covered separately. Retain the compact grammar flow.",internal/config/config.go:normalizeAllowedHost; internal/config/config.go:hostListFromEnv; internal/config/config_test.go:TestLoadRejectsInvalidPrivateHostAllowlist; internal/config/config_test.go:TestLoadParsesPrivateHostAllowlists
https://github.com/Brumbelow/layerleak/security/code-scanning/1226,Lizard_ccn-minor,internal/config/config.go,388,dismissal,won't fix,"validateHostname: accepted cyclomatic complexity debt. The validator checks IP literals, total and per-label lengths, empty labels, edge hyphens and allowed ASCII characters with field-specific errors. These are one hostname grammar, not separate operations that benefit from extraction. Existing invalid-private-host tests cover underscores, empty labels and hyphen edges through config.Load. Retain the explicit checks; length extremes are source-inspected, not claimed exhaustively tested here.",internal/config/config.go:validateHostname; internal/config/config.go:normalizeAllowedHost; internal/config/config_test.go:TestLoadRejectsInvalidPrivateHostAllowlist
https://github.com/Brumbelow/layerleak/security/code-scanning/1227,Lizard_ccn-minor,internal/scanner/scan_test.go,29,dismissal,won't fix,"Accepting the multi-architecture test's complexity. Assertions cover manifest-limit failure, successful two-manifest counts, all expected metadata/final/deleted-file source types, raw environment detail and final progress totals. The loops and checks validate multiple outputs of the same image fixture; preserving them together helps catch cross-component regressions.",internal/scanner/scan_test.go:TestScanMultiArchImage
https://github.com/Brumbelow/layerleak/security/code-scanning/1228,Lizard_ccn-minor,internal/scanner/scan_test.go,103,dismissal,won't fix,"Accepting the mock transport complexity in TestScanMultiArchImage. It routes auth, the root index, amd64/arm64 manifests, both configs and three layer blobs. The surrounding test depends on those distinct bodies to exercise metadata sources, deleted/overwritten layer content and multiple platforms. Explicit endpoint cases keep this integration fixture understandable.",internal/scanner/scan_test.go:TestScanMultiArchImage/transport
https://github.com/Brumbelow/layerleak/security/code-scanning/1229,Lizard_ccn-minor,internal/scanner/scan_test.go,900,dismissal,won't fix,"Accepting the limit subtest's complexity in TestDetectionBudgetBoundsRawFindingRetention. With a one-byte raw budget, it preserves one redacted finding, clears raw fields, marks the budget stopped/exceeded without retained bytes, checks diagnostic code/limit/observed, and rejects subsequent scanning. Those postconditions make the exact limit transition observable.",internal/scanner/scan_test.go:TestDetectionBudgetBoundsRawFindingRetention/limit
https://github.com/Brumbelow/layerleak/security/code-scanning/1230,Lizard_ccn-minor,internal/scanner/scan_test.go,935,dismissal,won't fix,"Accepting the subtest callback complexity in TestDetectionBudgetRedactsDifferentSecretInFilePathWithoutEmittingFinding. Short and long paths hold a different secret from the content; checks preserve only the content fingerprint, redact public path/source fields, keep the retained count at one, and use a hash of redacted provenance for long paths. These are complementary checks of one provenance-only secret scenario.",internal/scanner/scan_test.go:TestDetectionBudgetRedactsDifferentSecretInFilePathWithoutEmittingFinding/table callback
https://github.com/Brumbelow/layerleak/security/code-scanning/1231,Lizard_ccn-minor,internal/scanservice/record.go,302,dismissal,won't fix,"scanRunStatus: accepted cyclomatic complexity debt. The compact decision tree gives explicit completed/partial/failed status precedence and falls back to completed-manifest and error counters. The compound condition represents the separate sources of incomplete coverage, rather than independent processing stages suitable for extraction. Keeping it centralized lets BuildScanRecord use one status policy; the existing record test checks partial status propagation.",internal/scanservice/record.go:scanRunStatus; internal/scanservice/record.go:BuildScanRecord; internal/scanservice/record_test.go:TestBuildScanRecordSanitizesErrorsAndPersistsPartialStatus
https://github.com/Brumbelow/layerleak/security/code-scanning/1232,Lizard_ccn-minor,internal/detectors/detectors.go,272,dismissal,won't fix,"pathRegexDetector.Scan: accepted cyclomatic complexity debt. The routine first gates on expected path, then assigns structured priority to an explicit finite list of file-format detectors before invoking shared regex matching. The detector-name alternatives dominate its complexity count. Keeping that precedence list visible is reasonable; existing file-specific detector and overlap-deduplication tests exercise path gating and priority-sensitive matching.",internal/detectors/detectors.go:pathRegexDetector.Scan; internal/detectors/detectors.go:scanRegexMatches; internal/detectors/detectors_test.go:TestFileSpecificDetectorsRequireExpectedPath; internal/detectors/detectors_test.go:TestDefaultSetDeduplicatesOverlappingGithubDetectors
https://github.com/Brumbelow/layerleak/security/code-scanning/1233,Lizard_ccn-minor,internal/detectors/detectors.go,314,dismissal,won't fix,"keyValueDetector.Scan: accepted cyclomatic complexity debt. The routine gates on a sensitive key, walks line-relative matches, verifies spans/assignment context and applies a detector-specific validator before translating to absolute offsets. These checks jointly decide whether one candidate is a valid assigned value. Keep them together; existing context-sensitive AWS/service-token tests exercise the adapters and avoid accepting unconstrained matching text.",internal/detectors/detectors.go:keyValueDetector.Scan; internal/detectors/detectors.go:hasAssignedValuePrefix; internal/detectors/detectors_test.go:TestAWSSecretAccessKeyRequiresContext; internal/detectors/detectors_test.go:TestContextualServiceTokensRequireServiceContext
https://github.com/Brumbelow/layerleak/security/code-scanning/1234,Lizard_ccn-minor,internal/detectors/detectors.go,565,dismissal,won't fix,"looksLikeBasicAuthURL: accepted cyclomatic complexity debt. The short validator checks printable text, HTTP(S), parsed userinfo with nonempty username/password and printable host/credentials. These predicates form one URL credential-shape check used by both generic and git-credential detection. Keeping them explicit is reasonable. Existing nonprintable and placeholder URL tests cover key rejection paths; retain this validation boundary.",internal/detectors/detectors.go:looksLikeBasicAuthURL; internal/detectors/structured.go:gitCredentialsDetector.Scan; internal/detectors/detectors_test.go:TestBasicAuthURLRejectsNonPrintableMatches; internal/detectors/detectors_test.go:TestDefaultSetDiscardsPlaceholderBasicAuthURL
https://github.com/Brumbelow/layerleak/security/code-scanning/1235,Lizard_ccn-minor,internal/detectors/detectors.go,734,dismissal,won't fix,"hasStrongEntropyShape: accepted cyclomatic complexity debt. The routine classifies character categories once, counts relevant classes, and applies length/separator rules to distinguish likely secrets from word-like identifiers. Those alternatives are the detector heuristic itself. Keep the policy explicit rather than spreading thresholds through helpers; existing wordy-candidate and assignment-context tests exercise the surrounding entropy decision.",internal/detectors/detectors.go:hasStrongEntropyShape; internal/detectors/structured.go:looksLikeAssignedSensitiveValue; internal/detectors/detectors_test.go:TestKeywordEntropySuppressesWordyCandidates; internal/detectors/detectors_test.go:TestKeywordEntropyRequiresAssignmentContext
https://github.com/Brumbelow/layerleak/security/code-scanning/1236,Lizard_ccn-minor,internal/findings/findings_test.go,294,dismissal,won't fix,"Accepting this normalizer test's complexity. A 4,000-match fixture and long multilingual metadata key check byte bounds, valid UTF-8 and a digest suffix, then validate each finding's key/source location. A changed long key must produce different provenance. The loops and predicates are needed to check both per-match bounds and distinction after truncation.",internal/findings/findings_test.go:TestDetailedNormalizerBoundsLargeMetadataProvenanceWithManyMatches
https://github.com/Brumbelow/layerleak/security/code-scanning/1237,Lizard_ccn-minor,internal/registry/client.go,265,dismissal,won't fix,"Client.ListTags: accepted cyclomatic complexity debt. The loop manages one pagination state: seen URLs, deduplicated tags, per-page deadline/body limit, tag syntax, total tag limit and no-progress detection. Keeping those checks adjacent makes the next-page advance and retained partial tags explicit. Existing pagination tests cover cycles, no-new-tag pages and partial results on limits. Retain this bounded enumeration state machine.",internal/registry/client.go:Client.ListTags; internal/registry/client_test.go:TestListTagsFollowsPagination; internal/registry/client_test.go:TestListTagsRejectsPaginationCycle; internal/registry/client_test.go:TestListTagsReturnsPartialTagsWhenLimitExceeded
https://github.com/Brumbelow/layerleak/security/code-scanning/1238,Lizard_ccn-minor,internal/registry/client.go,347,dismissal,won't fix,"Client.doRequest: accepted cyclomatic complexity debt. The routine owns the initial request, unauthorized challenge/body closure, validated auth realm, cached token retry and single forced refresh after a second 401. executeRequest already isolates transport retries. Keeping challenge/cache refresh transitions together avoids obscuring retry limits and response ownership. TestFetchManifestRefreshesExpiredCachedToken explicitly checks two token and two authorized requests.",internal/registry/client.go:Client.doRequest; internal/registry/client.go:Client.executeRequest; internal/registry/client_test.go:TestFetchManifestRefreshesExpiredCachedToken
https://github.com/Brumbelow/layerleak/security/code-scanning/1239,Lizard_ccn-minor,internal/registry/client.go,450,dismissal,won't fix,"Client.fetchToken: accepted cyclomatic complexity debt. The routine ties cache admission, auth-realm query construction and revalidation, auth request context, bounded response decoding and cache insertion into one token acquisition flow. Retain those policy checks beside acquisition; extracting only error branches would hide resource and admission order. Existing tests check auth response byte limits and token refresh, while separate cache tests exercise entry/byte caps.",internal/registry/client.go:Client.fetchToken; internal/registry/client_test.go:TestClientBoundsAuthTokenResponse; internal/registry/client_test.go:TestFetchManifestRefreshesExpiredCachedToken; internal/registry/client_test.go:TestClientFailsClosedWhenTokenCacheEntryLimitIsReached
https://github.com/Brumbelow/layerleak/security/code-scanning/1240,Lizard_ccn-minor,internal/registry/client.go,835,dismissal,won't fix,"parseEndpointURL: accepted cyclomatic complexity debt. The early returns encode the endpoint grammar: absolute host, no userinfo/fragment, valid hostname/port and allowed scheme. This is intentionally separate from outbound address resolution and configured-query restrictions. Keep the small grammar validator readable as one unit; URL-validation tests exercise safe error text and HTTP-only-for-allowlisted-host behavior through its callers.",internal/registry/client.go:parseEndpointURL; internal/registry/client.go:Client.validateOutboundURL; internal/registry/client_test.go:TestURLValidationErrorsDoNotEchoUntrustedValues; internal/registry/client_test.go:TestClientAllowsHTTPOnlyForExactPrivateHost
https://github.com/Brumbelow/layerleak/security/code-scanning/1241,Lizard_ccn-minor,internal/registry/client.go,984,dismissal,won't fix,"validAllowedHostname: accepted cyclomatic complexity debt. The compact predicate distinguishes IP literals from DNS labels and checks total/label lengths, hyphen edges and ASCII characters. Its compound conditions express a single hostname grammar used by endpoints and host allowlists. Retain this centralized predicate; existing endpoint/private-host tests exercise its callers. This rationale does not claim those tests enumerate every boundary.",internal/registry/client.go:validAllowedHostname; internal/registry/client.go:parseEndpointURL; internal/registry/client.go:normalizeHostAllowlist; internal/registry/client_test.go:TestClientUsesSeparateExactPrivateHostAllowlists
https://github.com/Brumbelow/layerleak/security/code-scanning/1242,Lizard_ccn-minor,internal/registry/client.go,1016,dismissal,won't fix,"Client.hardenHTTPClient: accepted cyclomatic complexity debt. The routine validates transport type/TLS verification, clones caller state, establishes minimum TLS/header bounds and installs the pinned transport. Keeping those steps together makes the ownership and policy transition explicit. TestRegistryTransportRequiresTLS12 asserts TLS 1.0 is raised, TLS 1.3 retained and caller configuration cloned; the header-cap test covers that separate limit. Retain this setup unit.",internal/registry/client.go:Client.hardenHTTPClient; internal/registry/client_test.go:TestRegistryTransportRequiresTLS12; internal/registry/client_test.go:TestDefaultTransportCapsRegistryResponseHeaders
